CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
南投縣,,,0,1,1,65922,55.26,馬文君,中國國民黨,2,N,T
南投縣,,,0,1,2,53362,44.74,林耘生,民主進步黨,1,N,
南投縣,埔里鎮,,0,1,1,23565,60.44,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,,0,1,1,24841,48.83,馬文君,中國國民黨,2,N,T
南投縣,中寮鄉,,0,1,1,5303,54.48,馬文君,中國國民黨,2,N,T
南投縣,魚池鄉,,0,1,1,4855,58.37,馬文君,中國國民黨,2,N,T
南投縣,國姓鄉,,0,1,1,6289,64.39,馬文君,中國國民黨,2,N,T
南投縣,仁愛鄉,,0,1,1,1069,66.69,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,,0,1,2,15424,39.56,林耘生,民主進步黨,1,N,
南投縣,草屯鎮,,0,1,2,26034,51.17,林耘生,民主進步黨,1,N,
南投縣,中寮鄉,,0,1,2,4430,45.52,林耘生,民主進步黨,1,N,
南投縣,魚池鄉,,0,1,2,3462,41.63,林耘生,民主進步黨,1,N,
南投縣,國姓鄉,,0,1,2,3478,35.61,林耘生,民主進步黨,1,N,
南投縣,仁愛鄉,,0,1,2,534,33.31,林耘生,民主進步黨,1,N,
南投縣,埔里鎮,東門里,0,1,1,961,57.48,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,杷城里,0,1,1,830,54.93,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,枇杷里,0,1,1,2178,58.93,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,水頭里,0,1,1,1210,63.35,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,麒麟里,0,1,1,372,59.81,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,珠格里,0,1,1,377,61.40,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,溪南里,0,1,1,432,66.77,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,西門里,0,1,1,1055,57.56,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,南門里,0,1,1,324,54.92,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,北門里,0,1,1,809,58.92,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,北安里,0,1,1,1152,62.85,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,北梅里,0,1,1,941,60.95,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,泰安里,0,1,1,752,61.54,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,大湳里,0,1,1,444,58.27,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,蜈蚣里,0,1,1,862,61.57,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,同聲里,0,1,1,753,54.96,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,清新里,0,1,1,1235,59.78,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,薰化里,0,1,1,420,55.78,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,大城里,0,1,1,1958,60.17,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,籃城里,0,1,1,329,52.14,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,桃米里,0,1,1,386,63.80,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,成功里,0,1,1,121,59.31,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,南村里,0,1,1,470,60.88,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,愛蘭里,0,1,1,532,65.44,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,鐵山里,0,1,1,604,66.96,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,房里里,0,1,1,480,60.99,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,向善里,0,1,1,321,69.93,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,一新里,0,1,1,544,78.73,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,合成里,0,1,1,748,70.97,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,廣成里,0,1,1,446,62.46,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,史港里,0,1,1,275,66.27,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,福興里,0,1,1,338,54.52,馬文君,中國國民黨,2,N,T
南投縣,埔里鎮,牛眠里,0,1,1,906,54.91,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,玉峰里,0,1,1,720,54.18,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,明正里,0,1,1,1256,52.53,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,炎峰里,0,1,1,637,49.11,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,中正里,0,1,1,216,45.28,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,和平里,0,1,1,338,44.18,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,中山里,0,1,1,695,46.86,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,敦和里,0,1,1,1966,51.44,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,山腳里,0,1,1,2336,55.99,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,新厝里,0,1,1,947,49.82,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,上林里,0,1,1,1097,55.43,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,碧峰里,0,1,1,1221,47.62,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,碧洲里,0,1,1,836,54.50,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,復興里,0,1,1,794,42.71,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,御史里,0,1,1,1782,49.68,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,新豐里,0,1,1,1196,45.12,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,新庄里,0,1,1,1051,51.37,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,加老里,0,1,1,724,45.76,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,石川里,0,1,1,449,48.86,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,北投里,0,1,1,755,43.74,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,富寮里,0,1,1,1594,46.98,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,北勢里,0,1,1,574,43.13,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,中原里,0,1,1,574,41.59,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,南埔里,0,1,1,1051,41.05,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,坪頂里,0,1,1,343,48.11,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,土城里,0,1,1,505,47.73,馬文君,中國國民黨,2,N,T
南投縣,草屯鎮,平林里,0,1,1,434,56.81,馬文君,中國國民黨,2,N,T
